======================================================================
Semantic Tag Audit Report — Gemini-powered
Generated: 2026-03-15 19:28:26
======================================================================

Total audited:  3194
Correct:        1946
Incorrect:      1248
API errors:     360

BY TAG:
  Tag              Total  Correct  Incorrect  Error%
  --------------------------------------------------
  animal             417      285        132   31.7%
  body               495      321        174   35.2%
  celestial          267      144        123   46.1%
  clothing           218      110        108   49.5%
  color              179      161         18   10.1%
  food               322      199        123   38.2%
  number             367       92        275   74.9%
  plant              292      224         68   23.3%
  speech             147      103         44   29.9%
  tool               238      114        124   52.1%
  water              252      193         59   23.4%

INCORRECT TAGS (to be removed):
  Headword                  Tag          Reason                                  
  wiruuʔa                   plant        Describes an action, not a plant.       
  Tawaakaruuʔ               speech       Refers to a group of people, not speech.
  a                         speech       "Come" is a verb of motion, not speech. 
  asataakaa                 speech       "White horse" refers to an animal, not s
  astiwiitik                speech       "Pester" and "bother" are actions, not i
  awikiriwiskii             speech       "Deceive" and "trick" are actions, not i
  haatuʔ                    speech       "Tongue" is a body part, not speech itse
  hactawiʔat                speech       "Lick" is an action using the tongue, no
  hihit                     speech       Describes a physical state, not speech. 
  hiriitik                  speech       Describes a physical action, not speech.
  ihtatasa                  speech       The definition describes physical proxim
  iituusik                  speech       The definition describes motion and comi
  itkaskicuucis             speech       The definition describes a state of slee
  kaackaraaruʔ              speech       The definition describes a body part, no
  kaackaraaruʔ              speech       The definition describes a body part, no
  katakusiir-i              speech       The definition describes a state of bein
  katasa                    speech       The definition describes physical positi
  katawiitik                speech       The definition describes a behavioral tr
  kiciiwakta/taa            speech       The definition describes mechanical or e
  kiisaar                   speech       The definition describes an emotional or
  kirahwakta/taa            speech       The definition describes mechanical soun
  kirahwaktaarik            speech       Describes a physical sound of breaking, 
  kiriwiskii                speech       Describes deception, which may involve s
  kiruuspaktaarik           speech       Describes a physical sound related to ea
  kusickawiʔa               speech       Describes movement towards someone, with
  paakis                    speech       Describes an animal, not speech.        
  raakirikaaʔat             speech       Describes cognitive or visual actions, n
  raakusiksiir              speech       Describes a state of readiness or organi
  raasaar                   speech       Describes the state of being a name/desi
  raatiihuraʔuk             speech       Describes organizational actions (planni
  raawiʔuusik               speech       Describes actions of termination, not sp
  raaʔiitawuh               speech       Describes imparting knowledge/skill, whi
  racat                     speech       The definition describes the state of a 
  rahwaktaarik              speech       The definition refers to making sounds f
  rawa, nawa                speech       'Now, well now' are temporal adverbs/int
  riwakta/taa               speech       The definition refers to sounds made by 
  taaʔat                    speech       The definition refers to an animal (tick
  takus-                    speech       The definition describes a physical posi
  tawakarihuur              speech       The definition refers to a general sound
  tawakta/taa               speech       The definition refers to sounds made by 
  uuc/uc-                   speech       The definition describes a physical acti
  wakarahkaʔas              speech       Crying is a vocalization of emotion, not
  wakta/taa                 speech       The definition refers to general noise/s
  wakuraah                  speech       The primary meaning is about agreement a
  wiruuʔat                  speech       The definition describes physical action
  apitaarahak               tool         The definition describes actions ('turn 
  askawarik                 tool         The definition describes the verb 'trap'
  astariipuh                tool         The definition describes the action 'tie
  asuʔ                      tool         'Foot' and 'paw' are body parts, not too
  awikiickawarik            tool         The definition describes the verb 'rope'
  awitawihak                tool         The definition describes the action 'bru
  awuu                      tool         The definition describes the action 'thr
  cak, icak                 tool         The definition describes the verbs 'shoo
  cawuh                     tool         The definition describes a verb (an acti
  haakaawatatuuk            tool         The definition describes a verb (an acti
  haakaratawiʔuʔ            tool         A mouth is a body part, not a tool.     
  haaskiica                 tool         The definition describes a state or acti
  haaskiihkasa              tool         The definition describes a state or proc
  haaskiihkaʔuuc/uc-        tool         The definition describes a verb (an acti
  haaskiihkiiriwat          tool         The definition describes a verb (an acti
  haaskitawaawuh            tool         The definition describes a verb (an acti
  haasta                    tool         The definition describes a state ('be ti
  haastawi-                 tool         The definition describes an adjective/st
  haastawikuusk             tool         The definition describes a verb (an acti
  haasuʔat                  tool         The definition describes a verb (an acti
  hiihkacak                 tool         The definition describes a verb (hoe wee
  hiiwiik                   tool         The definition describes a verb (chop we
  huka                      tool         The definition describes a state of bein
  hukaarik                  tool         The definition describes a state of bein
  hukaawihiriʔ              tool         The definition describes a state of bein
  hukaaʔiir                 tool         The definition describes a verb (put on,
  hukahaaruʔ                tool         The definition describes a geographical 
  hukasa                    tool         The definition describes a state of bein
  huraahkawirahak           tool         The definition describes a verb (plow la
  huraahkawirat             tool         The definition describes a verb (plow la
  icahpiitik                tool         The definition describes a verb (bend ov
  icahpuh                   tool         The definition describes a verb (tip ove
  icakuusk                  tool         The definition describes verbs (stick, p
  ickitaahuruustaʔuk        tool         The definition describes a verb (roll up
  iitik                     tool         The definition describes verbs (bow, ben
  iituusik                  tool         The definition describes verbs/states (l
  ikskaʔat                  tool         The definition describes a verb (to put 
  iraahawuh                 tool         The definition describes an action (to t
  ka-                       tool         The definition describes a location or e
  kaa                       tool         The definition describes a state of bein
  kaarik                    tool         The definition describes a state of bein
  kaawihiriʔ                tool         The definition describes a location or p
  kahuraahkicuuciskat       tool         The definition describes a location or e
  kahuraar                  tool         The definition describes a type of area 
  kakus                     tool         The definition describes a state of bein
  kakuusk                   tool         The definition describes an action (to p
  kariikiwat                tool         The definition describes an action (to u
  kasa                      tool         The definition describes a state of bein
  kawarik                   tool         The definition describes an action (to p
  kawat                     tool         The definition describes an action (to t
  kawiiraraah               tool         The definition describes an action (to c
  kawiitik                  tool         The definition describes an action or po
  kawiriwuu                 tool         The definition describes an action (to k
  kawiʔat                   tool         The definition describes an action (to g
  kaʔat                     tool         The definition describes an action (to g
  kaʔiihcuʔ                 tool         Straw is a material, not a tool itself, 
  kaʔiir                    tool         The definition describes an action (to p
  kaʔiis-                   tool         The definition describes a location or d
  kaʔiisat                  tool         The definition describes an action (to g
  kaʔiitat                  tool         The definition describes a state or arra
  kicahaasta                tool         The definition describes a plant, not a 
  kiciiwakta/taa            tool         The definition describes sounds or actio
  kickaa                    tool         The definition describes a state, not a 
  kickaahisuʔ               tool         The definition describes a body part, no
  kicpaktaarik              tool         The definition describes sounds or actio
  kiica                     tool         The definition describes an action or cl
  kiicpaat-                 tool         The definition describes a location or d
  kiikaraʔuk                tool         The definition describes an action (stri
  kiiraasitaar              tool         The definition describes a natural proce
  kiiraʔuk                  tool         The definition describes actions (string
  kiiriwisistaah            tool         The definition describes an action (carr
  kiiwaʔuctaakaa            tool         The definition describes a plant, not a 
  kiiʔat                    tool         The definition describes a state or arra
  kipistaatuʔ               tool         The definition describes a plant, not a 
  kipisuʔ                   tool         The definition describes a plant (saplin
  kiraar                    tool         The definition describes a state, not a 
  kiraaruʔ                  tool         The definition describes a substance, no
  kirahkaa, kiirahkaa       tool         The definition describes a state, not a 
  kiraraah                  tool         The definition describes an action (carr
  kirir                     tool         The definition describes an action or ph
  kitakus                   tool         The definition describes a position or s
  kitawuh                   tool         The definition describes an action (coun
  paatahuuruʔ               tool         Blood vessels are anatomical parts, not 
  pakcak                    tool         This is a verb describing an action, not
  paksiitik                 tool         This is a verb describing an action, not
  paraakat, waraakat        tool         This describes a location or environment
  piicuuc                   tool         This is a type of plant, not a tool.    
  piraʔa                    tool         This is a verb describing an action, not
  pirusas-i                 tool         This is a verb describing an action, not
  raahaar                   tool         This is a verb describing an action, not
  raakasis                  tool         This describes a state or quality, not a
  raariciit                 tool         This is a verb describing a state ('be a
  raariciituʔ               tool         An arbor is a structure, not typically c
  raaririispuh              tool         This is a verb describing an action, not
  raarukaʔiituʔ             tool         An arbor or arbor top is a structure/par
  raarusuʔ                  tool         Brush refers to vegetation or an area, n
  raaʔiksuʔ                 tool         Possessions like shawls, blankets, and t
  racariipuh                tool         The definition describes a verb (to tie 
  rahkariipuh               tool         The definition describes a verb (to tie 
  rahwiʔa                   tool         The definition describes the action 'to 
  rakiriktaaʔuʔ             tool         A 'knot on a tree' is a natural formatio
  rarahuuruʔ                tool         A bundle/package is a collection of item
  riikarikuk                tool         The definition describes a verb (to open
  riwaks                    tool         The definition describes verbs (to cut, 
  ruuciik                   tool         The definition describes verbs (to pick 
  ruwaahaahkiir             tool         The definition describes verbs (to undre
  taahaaruʔ                 tool         A bundle is a collection of items, not a
  taahpiiraah               tool         The definition describes verbs (to have,
  taahpuh                   tool         The definition describes verbs (to put o
  taakakus                  tool         The definition describes a state or cond
  taaraaruʔ                 tool         A bundle is a collection of items, not a
  taarikiihk                tool         This is a verb describing an action, not
  tahaakaahcik              tool         This is a verb describing an action, not
  tahuriwiitik              tool         This is a verb describing a body action/
  takus                     tool         This is a verb describing a state or act
  takustaah                 tool         This is a verb describing an action, not
  takuusk                   tool         This is a verb describing an action, not
  tarasa                    tool         This is a verb describing a state, not a
  tariikiwat                tool         This is a verb describing an action, not
  tawasii                   tool         This is a verb describing a state, not a
  taʔitiir                  tool         This is a verb describing an action, not
  uukatawi-                 tool         This describes a location/area, not a to
  waraakat, paraakat        tool         This describes a location/environment, n
  wiituuruʔ                 tool         This describes a geographical feature, n
  Tiihiiraraahkasa          water        The word 'Creek' in this context refers 
  aciksiir                  water        The definition describes a feeling and h
  araas                     water        The definition refers to a state of food
  aspit                     water        The word refers to an animal (a type of 
  asuʔat                    water        Definition relates to body parts and mot
  atiraʔ                    water        Definition relates to kinship, not water
  atkiisik                  water        Definition relates to hearing, not water
  atkiiskitii               water        Definition relates to hearing, not water
  atkiiskitiiʔ              water        Definition relates to a person's hearing
  awakiihaar                water        Definition relates to prosperity, not wa
  awarii                    water        Definition relates to motion (flying), n
  awirictakaahak            water        Definition relates to weather/temperatur
  awirictaʔu                water        Definition relates to weather/temperatur
  ckirihkaapiraat           water        Definition relates to an animal (wolf), 
  cuskiituʔ                 water        Definition relates to a cradleboard and 
  haakariir                 water        Definition relates to speaking, not wate
  haarutpahat               water        Definition relates to grass, not water. 
  haaruutuʔ                 water        Definition relates to grass/hay, not wat
  haawatiihus               water        Definition relates to a mechanical coil 
  harikictaarikic           water        The primary meaning is about the consist
  hatkaahuuruʔ              water        The primary meaning is about a type of h
  hawaastatkiicuʔ           water        The definition 'chewing gum' has no appa
  hiihpahat                 water        The definition is about a type of grass;
  hiiruʔ                    water        The definition is about grass or hay; th
  hukakaawihiriʔ            water        The definition describes a general spati
  huuhatawiʔuʔ              water        The definition 'large hole in the ground
  icatataahiisuʔ            water        While 'sea biscuit' contains 'sea', the 
  iksawiʔiitik              water        'Wave at' refers to a hand gesture, not 
  iksiitik                  water        'Wave the hand' refers to a hand gesture
  iriirirahcaku             water        'Pool hall' refers to the game of billia
  iriwiraarahak             water        The definition describes a general motio
  kaaruriir                 water        The definition 'eat well' has no connect
  kataarahkaaʔa             water        While grass needs water, the definition 
  kiciiwakta/taa            water        The definition describes sounds (squeak,
  kiiwaakstaakaa            water        The word refers to an 'animal' (goose), 
  kiraraʔuk                 water        The main meaning is 'make (a beverage)',
  kusiksiir                 water        The definition describes a state of bein
  pahit                     water        The definition describes a state of bein
  parihik                   water        The definition describes qualities like 
  raahiiriitik              water        The definition refers to health and reco
  raapiʔuʔ                  water        The definition refers to 'dry goods', wh
  raataʔu                   water        The definition refers to pain, not water
  raawarii                  water        The word 'wave' here is a verb of motion
  raawihak                  water        The word 'wave' here is a verb of motion
  raawihak                  water        The word 'wave' here is a verb of motion
  raawiʔat                  water        The word 'wave' here is a verb of motion
  rawa, nawa                water        The word 'well' here is an interjection,
  rihaks                    water        The definition describes consistency and
  rihaksit                  water        The definition describes consistency and
  rikatahak                 water        The definition refers to removal, not wa
  riwiiʔaar                 water        The definition refers to forming a shape
  taahiis                   water        The definition refers to being 'dry', wh
  takickuut                 water        The definition refers to spoiling/rottin
  takickuuʔat               water        The definition refers to being rotten/sp
  tawaas                    water        The definition refers to being 'dry', wh
  uktata-                   water        The definition refers to the base of ele
  uktataka-                 water        The definition refers to the base of ele
  uktatakat                 water        The definition refers to the base of ele
  wakuriir                  water        The definition is about speaking ability
